word,n,prob
830,1,3.0543117719284313e-6
84,4,1.2217247087713725e-5
85,3,9.162935315785295e-6
850,1,3.0543117719284313e-6
86,2,6.1086235438568626e-6
8600,1,3.0543117719284313e-6
870,1,3.0543117719284313e-6
877,1,3.0543117719284313e-6
88,2,6.1086235438568626e-6
886,1,3.0543117719284313e-6
89,4,1.2217247087713725e-5
89er,1,3.0543117719284313e-6
8chan,3,9.162935315785295e-6
8er,1,3.0543117719284313e-6
9,16,4.88689883508549e-5
"9,5",1,3.0543117719284313e-6
90,20,6.108623543856863e-5
900,7,2.1380182403499018e-5
905,1,3.0543117719284313e-6
91,4,1.2217247087713725e-5
911,2,6.1086235438568626e-6
92,3,9.162935315785295e-6
"92,8",1,3.0543117719284313e-6
93,4,1.2217247087713725e-5
94,4,1.2217247087713725e-5
95,5,1.5271558859642157e-5
96,2,6.1086235438568626e-6
97,1,3.0543117719284313e-6
98,3,9.162935315785295e-6
990,1,3.0543117719284313e-6
a,27,8.246641784206765e-5
à,9,2.7488805947355882e-5
a220,1,3.0543117719284313e-6
a3,1,3.0543117719284313e-6
a320neo,1,3.0543117719284313e-6
a380,7,2.1380182403499018e-5
aaaaaaaaaaaaah,1,3.0543117719284313e-6
aachen,2,6.1086235438568626e-6
aalglatt,1,3.0543117719284313e-6
aarau,9,2.7488805947355882e-5
aare,5,1.5271558859642157e-5
aargau,10,3.0543117719284315e-5
aargauer,13,3.970605303506961e-5
ab,424,0.001295028191297655
abassia,1,3.0543117719284313e-6
abb,20,6.108623543856863e-5
abbas,2,6.1086235438568626e-6
abbau,5,1.5271558859642157e-5
abbaubare,1,3.0543117719284313e-6
abbauen,4,1.2217247087713725e-5
abbaut,1,3.0543117719284313e-6
abbey,2,6.1086235438568626e-6
abbilden,1,3.0543117719284313e-6
abbitte,1,3.0543117719284313e-6
abblasen,1,3.0543117719284313e-6
abblitzen,1,3.0543117719284313e-6
abbrennen,1,3.0543117719284313e-6
abbruch,6,1.832587063157059e-5
abbvie,1,3.0543117719284313e-6
abc,1,3.0543117719284313e-6
abchasien,1,3.0543117719284313e-6
abdankung,1,3.0543117719284313e-6
abdecken,1,3.0543117719284313e-6
abdelaziz,1,3.0543117719284313e-6
abdelfatah,2,6.1086235438568626e-6
abdruck,1,3.0543117719284313e-6
abdruckt,1,3.0543117719284313e-6
abdul,1,3.0543117719284313e-6
abdullah,1,3.0543117719284313e-6
abe,6,1.832587063157059e-5
abeba,4,1.2217247087713725e-5
abel,1,3.0543117719284313e-6
abela,1,3.0543117719284313e-6
abend,12,3.665174126314118e-5
abenden,1,3.0543117719284313e-6
abendessen,1,3.0543117719284313e-6
abendessens,1,3.0543117719284313e-6
abendland,2,6.1086235438568626e-6
abendlandes,1,3.0543117719284313e-6
abendländischen,1,3.0543117719284313e-6
abendlands,2,6.1086235438568626e-6
